"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     2";
"Trial ID";"1";
"Arena name";"E4";
"Arena ID";"27";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 3";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.6";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.6";
"Track";"Track filet0001a0027o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate2.mpg";
"Video start time";"29/03/2023 09:36:22.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.6";
"Reference time";"29/03/2023 09:36:22.0";
"Sof file";"";
"Missed samples";"2.3 %";
"Subject not found";"2.6 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
0.000;0.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.200;0.200;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.400;0.400;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.600;0.600;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.800;0.800;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
1.000;1.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
1.200;1.200;-17.0509;29.438;0.246599;"-";0.545894;"-";"-";"-";"-";1;
1.400;1.400;-17.4457;29.7095;0.246599;0.394559;0.545894;0.479114;2.39557;1;0;1;
1.600;1.600;-17.4457;29.7095;0.246599;0;0.545894;0;0;1;0;1;
1.800;1.800;-17.3778;29.6848;0.295919;0.14796;0.220339;0.0722052;0.361026;0;1;1;
2.000;2.000;-17.3778;29.6848;0.295919;0;0.220339;0;0;0;1;1;
2.200;2.200;-17.3778;29.6848;0.295919;0;0.220339;0;0;0;1;1;
2.400;2.400;-17.3778;29.6848;0.295919;0;0.220339;0;0;0;1;1;
2.600;2.600;-17.3778;29.6848;0.295919;0;0.220339;0;0;0;1;1;
2.800;2.800;-17.6554;28.9815;0.197279;0.493199;8.52651e-014;0.756063;3.78031;0;1;1;
3.000;3.000;-19.0414;28.854;0.493199;0.690478;0.43564;1.3918;6.959;0;1;1;
3.200;3.200;-19.0989;28.8409;0.493199;0.197279;0.635338;0.0590614;0.295307;0;1;1;
3.400;3.400;-19.0989;28.8409;0.493199;0;0.635338;0;0;0;1;1;
3.600;3.600;-19.0989;28.8409;0.493199;0;0.635338;0;0;0;1;1;
3.800;3.800;-19.0989;28.7595;0.295919;0.197279;0.6;0.0814296;0.407148;0;1;1;
4.000;4.000;-19.0989;28.7595;0.295919;0;0.6;0;0;0;1;1;
4.200;4.200;-19.0989;28.7595;0.295919;0;0.6;0;0;0;1;1;
4.400;4.400;-19.1483;28.7718;0.246599;0.0493199;0.545894;0.0508701;0.254351;0;1;1;
4.600;4.600;-19.1483;28.7718;0.246599;0;0.545894;0;0;0;1;1;
4.800;4.800;-19.1483;28.7718;0.246599;0;0.545894;0;0;0;1;1;
5.000;5.000;-19.1138;28.7817;0.394559;0.14796;0.875436;0.0359283;0.179641;0;1;1;
5.200;5.200;-19.1138;28.7817;0.394559;0;0.875436;0;0;0;1;1;
5.400;5.400;-19.1138;28.7817;0.394559;0;0.875436;0;0;0;1;1;
5.600;5.600;-19.0712;28.741;0.493199;0.0986397;0.735863;0.0589026;0.294513;0;1;1;
5.800;5.800;-19.0712;28.741;0.493199;0;0.735863;0;0;0;1;1;
6.000;6.000;-19.0712;28.741;0.493199;0;0.735863;0;0;0;1;1;
6.200;6.200;-19.1483;28.7718;0.246599;0.246599;0.545894;0.0830515;0.415257;0;1;1;
6.400;6.400;-19.247;28.3893;0.345239;0.493199;0.439026;0.395003;1.97501;0;1;1;
6.600;6.600;-19.1286;28.3523;0.345239;0.0986397;0.460313;0.124092;0.620459;0;1;1;
6.800;6.800;-18.9262;28.303;0.246599;0.197279;0.545894;0.208272;1.04136;0;1;1;
7.000;7.000;-18.5993;29.3147;0.295919;0.542518;0.69857;1.06322;5.3161;0;1;1;
7.200;7.200;-18.5561;29.2653;0.246599;0.0493199;0.545894;0.0655764;0.327882;0;1;1;
7.400;7.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
7.600;7.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
7.800;7.800;-18.4623;29.2406;0.345239;"-";0.460313;"-";"-";0;1;1;
8.000;8.000;-18.3217;29.2036;0.246599;0.197279;8.52651e-014;0.14544;0.727199;0;1;1;
8.200;8.200;-19.1201;28.8493;0.394559;0.641158;0.228302;0.873501;4.3675;0;1;1;
8.400;8.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
8.600;8.600;-18.8584;28.3893;0.443879;"-";0.448901;"-";"-";0;1;1;
8.800;8.800;-18.8584;28.3893;0.443879;0;0.448901;0;0;0;1;1;
9.000;9.000;-18.8584;28.3893;0.443879;0;0.448901;0;0;0;1;1;
9.200;9.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
9.400;9.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
9.600;9.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
9.800;9.800;-18.8769;28.9815;0.295919;"-";0.6;"-";"-";0;1;1;
10.000;10.000;-18.8769;28.9815;0.295919;0;0.6;0;0;0;1;1;
10.200;10.200;-18.8769;28.9815;0.295919;0;0.6;0;0;0;1;1;
10.400;10.400;-18.8769;28.3616;0.493199;0.789118;0.545938;0.619975;3.09988;0;1;1;
10.600;10.600;-19.3025;28.3893;0.493199;0.493199;0.448901;0.426559;2.1328;0;1;1;
10.800;10.800;-19.0397;28.2339;0.394559;0.295919;0.78696;0.305333;1.52666;0;1;1;
11.000;11.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.200;11.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.400;11.400;-18.3834;29.216;0.246599;"-";0.545894;"-";"-";0;1;1;
11.600;11.600;-18.3834;29.216;0.246599;0;0.545894;0;0;0;1;1;
11.800;11.800;-18.7103;29.2406;0.295919;0.345239;0.220339;0.327882;1.63941;0;1;1;
12.000;12.000;-18.515;29.0761;0.443879;0.345239;0.358195;0.255388;1.27694;0;1;1;
12.200;12.200;-18.9324;28.8705;0.443879;0.690478;0.453056;0.465329;2.32665;0;1;1;
12.400;12.400;-18.9591;28.632;0.443879;0.394559;0.358195;0.240024;1.20012;0;1;1;
12.600;12.600;-18.9509;28.6731;0.443879;0.197279;0.596774;0.0419405;0.209703;0;1;1;
12.800;12.800;-18.9509;28.6731;0.443879;0;0.596774;0;0;0;1;1;
13.000;13.000;-19.0989;28.5374;0.345239;0.394559;0.745356;0.200845;1.00423;0;1;1;
13.200;13.200;-19.0989;28.5374;0.345239;0;0.745356;0;0;0;1;1;
13.400;13.400;-18.7658;28.3893;0.197279;0.14796;"-";0.36454;1.8227;0;1;1;
13.600;13.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
13.800;13.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
14.000;14.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
14.200;14.200;-18.1119;29.4874;0.246599;"-";0.545894;"-";"-";0;1;1;
14.400;14.400;-17.8035;29.394;0.739798;0.493199;0.306951;0.322281;1.6114;0;1;1;
14.600;14.600;-17.6396;29.3358;0.493199;0.246599;0.654966;0.17393;0.869652;0;1;1;
14.800;14.800;-17.6628;29.6996;0.394559;0.394559;0.755676;0.364533;1.82266;0;1;1;
15.000;15.000;-17.5148;29.5071;0.887757;0.493199;0.601643;0.242826;1.21413;0;1;1;
15.200;15.200;-17.5148;29.5071;0.887757;0;0.601643;0;0;0;1;1;
15.400;15.400;-17.5045;29.4342;0.690478;0.295919;0.418983;0.0736052;0.368026;0;1;1;
15.600;15.600;-17.5045;29.4342;0.690478;0;0.418983;0;0;0;1;1;
15.800;15.800;-17.5045;29.4342;0.641158;0.0493199;0.418983;0;0;0;1;1;
