"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     1";
"Trial ID";"0";
"Arena name";"E6";
"Arena ID";"43";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 1";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.4";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.4";
"Track";"Track filet0000a0043o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate1.mpg";
"Video start time";"29/03/2023 09:41:30.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.4";
"Reference time";"29/03/2023 09:41:30.0";
"Sof file";"";
"Missed samples";"2.1 %";
"Subject not found";"3.7 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
0.000;0.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.200;0.200;-11.0399;14.7834;0.443185;"-";0.643337;"-";"-";"-";"-";1;
0.400;0.400;-11.8693;14.7834;0.720176;1.16336;0.204735;0.829392;4.14696;1;0;1;
0.600;0.600;-11.4624;14.7085;1.71734;0.997167;0.784301;0.413672;2.06836;1;0;1;
0.800;0.800;-11.4624;14.7085;1.71734;0;0.784301;0;0;1;0;1;
1.000;1.000;-12.0593;14.4225;1.88354;1.82814;0.931083;0.661839;3.3092;1;0;1;
1.200;1.200;-12.5268;14.3117;1.10796;1.10796;0.685089;0.480503;2.40251;1;0;1;
1.400;1.400;-12.5018;14.3233;1.21876;0.221593;0.679838;0.0275968;0.137984;1;0;1;
1.600;1.600;-13.4603;13.1567;1.05256;2.27132;0.639138;1.50988;7.54942;1;0;1;
1.800;1.800;-13.4852;13.0399;1.44035;0.498583;0.66938;0.1195;0.597502;1;0;1;
2.000;2.000;-13.9473;12.2035;1.16336;1.60655;0.816892;0.955559;4.77779;1;0;1;
2.200;2.200;-13.8521;12.133;1.49575;0.332389;0.565164;0.118484;0.592418;1;0;1;
2.400;2.400;-13.8392;11.8445;1.44035;0.941769;0.786232;0.288801;1.44401;1;0;1;
2.600;2.600;-13.8392;11.8445;1.44035;0;0.786232;0;0;1;0;1;
2.800;2.800;-13.8392;11.8445;1.44035;0;0.786232;0;0;1;0;1;
3.000;3.000;"-";"-";"-";"-";"-";"-";"-";1;0;1;
3.200;3.200;-13.7298;11.4911;1.88354;1.21876;0.833885;"-";"-";1;0;1;
3.400;3.400;-13.8199;11.1349;1.21876;0.664778;0.610743;0.367343;1.83671;1;0;1;
3.600;3.600;-13.8661;10.9673;0.941769;0.276991;0.523627;0.173864;0.869322;1;0;1;
3.800;3.800;-13.7464;11.0575;1.49575;0.775574;0.656533;0.14983;0.749151;1;0;1;
4.000;4.000;-13.5467;10.8531;1.55115;1.05256;0.328755;0.285809;1.42905;1;0;1;
4.200;4.200;-13.5634;10.815;1.44035;0.221593;0.340434;0.0415205;0.207602;1;0;1;
4.400;4.400;-13.3842;10.868;1.71734;0.60938;0.627932;0.186829;0.934143;1;0;1;
4.600;4.600;-13.3842;10.868;1.71734;0;0.627932;0;0;0;1;1;
4.800;4.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
5.000;5.000;-13.4695;10.9125;1.77274;0.387787;0.650659;"-";"-";0;1;1;
5.200;5.200;-13.4695;10.9125;1.77274;0;0.650659;0;0;0;1;1;
5.400;5.400;-13.3652;10.4854;1.10796;1.77274;0.909621;0.439644;2.19822;0;1;1;
5.600;5.600;-13.2329;10.0097;1.27416;0.941769;0.925276;0.493789;2.46894;0;1;1;
5.800;5.800;-13.2329;10.0097;1.27416;0;0.925276;0;0;0;1;1;
6.000;6.000;-13.2329;10.0097;1.27416;0;0.925276;0;0;0;1;1;
6.200;6.200;-13.2039;9.76632;1.32956;0.387787;0.87961;0.245088;1.22544;0;1;1;
6.400;6.400;-13.2039;9.76632;1.32956;0;0.87961;0;0;0;1;1;
6.600;6.600;-13.2039;9.76632;1.32956;0;0.87961;0;0;0;1;1;
6.800;6.800;-13.1585;9.88747;1.66194;0.443185;0.827671;0.129367;0.646836;0;1;1;
7.000;7.000;-12.9999;9.40284;1.60655;0.830972;0.729451;0.509914;2.54957;0;1;1;
7.200;7.200;-12.9918;9.35588;1.55115;0.0553982;0.669471;0.047648;0.23824;0;1;1;
7.400;7.400;-12.4793;8.81085;1.38495;1.71734;0.419194;0.748186;3.74093;0;1;1;
7.600;7.600;-12.4793;8.81085;1.38495;0;0.419194;0;0;0;1;1;
7.800;7.800;-12.2744;8.57917;0.941769;0.664778;0.357579;0.309237;1.54618;0;1;1;
8.000;8.000;-11.8992;8.49193;0.941769;0.775574;0.27925;0.385287;1.92644;0;1;1;
8.200;8.200;-11.8992;8.49193;0.941769;0;0.27925;0;0;0;1;1;
8.400;8.400;-11.6451;8.52929;0.498583;0.664778;0.858493;0.25678;1.2839;0;1;1;
8.600;8.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
8.800;8.800;-11.2524;8.64525;1.16336;1.21876;0.661691;"-";"-";0;1;1;
9.000;9.000;-11.2524;8.64525;1.16336;0;0.661691;0;0;0;1;1;
9.200;9.200;-11.1094;8.87181;1.27416;0.775574;0.907845;0.267929;1.33965;0;1;1;
9.400;9.400;-11.1094;8.87181;1.27416;0;0.907845;0;0;0;1;1;
9.600;9.600;-11.1094;8.87181;1.27416;0;0.907845;0;0;0;1;1;
9.800;9.800;-10.2224;8.46402;0.88637;1.93894;0.75663;0.976261;4.8813;0;1;1;
10.000;10.000;-10.2224;8.46402;0.88637;0;0.75663;0;0;0;1;1;
10.200;10.200;-10.2224;8.46402;0.88637;0;0.75663;0;0;0;1;1;
10.400;10.400;-9.94823;8.36341;0.387787;0.498583;0.755676;0.292013;1.46007;0;1;1;
10.600;10.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
10.800;10.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.000;11.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.200;11.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.400;11.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.600;11.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.800;11.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
12.000;12.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
12.200;12.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
12.400;12.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
12.600;12.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
12.800;12.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
13.000;13.000;-8.05155;11.9106;0.830972;"-";0.267604;"-";"-";0;1;1;
13.200;13.200;-8.06528;12.3542;0.775574;0.720176;0.144536;0.443816;2.21908;1;0;1;
13.400;13.400;-8.06528;12.3542;0.775574;0;0.144536;0;0;1;0;1;
13.600;13.600;-8.09592;12.2317;0.997167;0.332389;0.462839;0.126312;0.631561;0;1;1;
13.800;13.800;-8.10843;12.6746;0.941769;0.830972;0.357579;0.44308;2.2154;0;1;1;
14.000;14.000;-8.10843;12.6746;0.941769;0;0.357579;0;0;0;1;1;
14.200;14.200;-8.10826;12.5803;1.05256;0.221593;0.530685;0.094318;0.47159;0;1;1;
14.400;14.400;-8.13214;12.5291;1.21876;0.276991;0.548336;0.0564643;0.282321;0;1;1;
14.600;14.600;-8.13214;12.5291;1.21876;0;0.548336;0;0;0;1;1;
14.800;14.800;-8.36774;12.9669;2.43752;2.10513;0.859192;0.497171;2.48585;0;1;1;
15.000;15.000;-8.38053;13.2519;2.04973;0.387787;0.761738;0.285336;1.42668;0;1;1;
15.200;15.200;-8.55171;13.4742;1.55115;1.27416;0.578867;0.280532;1.40266;0;1;1;
15.400;15.400;-8.57017;13.3283;1.60655;0.387787;0.712405;0.147059;0.735294;0;1;1;
15.600;15.600;-8.54751;12.4129;2.21593;1.93894;0.68979;0.915711;4.57855;0;1;1;
