"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     2";
"Trial ID";"1";
"Arena name";"E7";
"Arena ID";"51";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 3";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.6";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.6";
"Track";"Track filet0001a0051o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate2.mpg";
"Video start time";"29/03/2023 09:36:22.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.6";
"Reference time";"29/03/2023 09:36:22.0";
"Sof file";"";
"Missed samples";"2.3 %";
"Subject not found";"2.5 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
11.000;11.000;"-";"-";"-";"-";"-";"-";"-";0;1;1;
11.200;11.200;-15.0719;1.80626;0.394559;0.0493199;0.304124;"-";"-";0;1;1;
11.400;11.400;-15.0719;1.80626;0.394559;0;0.304124;0;0;0;1;1;
11.600;11.600;-15.0719;1.80626;0.394559;0;0.304124;0;0;0;1;1;
11.800;11.800;-15.1607;1.88028;0.394559;0.0986397;0.755676;0.115634;0.578169;0;1;1;
12.000;12.000;-15.1607;1.88028;0.394559;0;0.755676;0;0;0;1;1;
12.200;12.200;-15.1607;1.88028;0.394559;0;0.755676;0;0;0;1;1;
12.400;12.400;-15.12;1.80441;0.493199;0.0986397;0.372898;0.086111;0.430555;0;1;1;
12.600;12.600;-14.8001;-0.830159;0.641158;1.13436;0.159154;2.65392;13.2696;0;1;1;
12.800;12.800;-14.8001;-0.830159;0.641158;0;0.159154;0;0;0;1;1;
13.000;13.000;-14.8054;-0.890791;1.233;0.591838;0.755932;0.0608617;0.304308;0;1;1;
13.200;13.200;-14.8054;-0.890791;1.233;0;0.755932;0;0;0;1;1;
13.400;13.400;-14.8054;-0.890791;1.233;0;0.755932;0;0;0;1;1;
13.600;13.600;-14.8265;-0.930624;1.13436;0.197279;0.748502;0.0451005;0.225503;0;1;1;
13.800;13.800;-14.8191;-0.959608;1.08504;0.0493199;0.710427;0.0299242;0.149621;0;1;1;
14.000;14.000;-14.8265;-0.930624;1.18368;0.0986397;0.748502;0.0299242;0.149621;0;1;1;
14.200;14.200;-14.8111;-0.899712;1.08504;0.197279;0.78683;0.034561;0.172805;0;1;1;
14.400;14.400;-14.8111;-0.899712;1.08504;0;0.78683;0;0;0;1;1;
14.600;14.600;-15.3709;-1.49534;1.08504;1.77551;0.613576;0.817455;4.08728;0;1;1;
14.800;14.800;-15.7218;-2.3127;1.18368;1.4796;0.740005;0.889473;4.44737;0;1;1;
15.000;15.000;-15.6444;-2.25165;1.03572;0.14796;0.797839;0.0986037;0.493019;0;1;1;
15.200;15.200;-15.6444;-2.25165;1.03572;0;0.797839;0;0;0;1;1;
15.400;15.400;-15.7862;-2.42703;1.18368;0.345239;0.614585;0.225582;1.12791;0;1;1;
15.600;15.600;-15.6937;-2.38232;0.986397;0.197279;0.788756;0.102767;0.513833;0;1;1;
15.800;15.800;-15.6937;-2.38232;0.986397;0;0.788756;0;0;0;1;1;
16.000;16.000;-15.8561;-2.40229;1.233;0.443879;0.571989;0.163605;0.818026;0;1;1;
16.200;16.200;-15.9732;-2.43178;1.52892;0.591838;0.791957;0.120727;0.603637;0;1;1;
16.400;16.400;-15.9732;-2.43178;1.52892;0;0.791957;0;0;0;1;1;
16.600;16.600;-16.1484;-2.60152;1.18368;0.542518;0.732033;0.243996;1.21998;0;1;1;
16.800;16.800;-16.1484;-2.60152;1.18368;0;0.732033;0;0;0;1;1;
17.000;17.000;-16.1484;-2.60152;1.18368;0;0.732033;0;0;0;1;1;
17.200;17.200;-16.1493;-2.57576;1.43028;0.345239;0.674044;0.0257731;0.128866;0;1;1;
17.400;17.400;-16.1493;-2.57576;1.43028;0;0.674044;0;0;0;1;1;
17.600;17.600;-16.1493;-2.57576;1.43028;0;0.674044;0;0;0;1;1;
17.800;17.800;-16.2311;-2.59368;1.08504;0.443879;0.602835;0.0837709;0.418855;0;1;1;
18.000;18.000;-16.2311;-2.59368;1.08504;0;0.602835;0;0;0;1;1;
18.200;18.200;-16.2311;-2.59368;1.08504;0;0.602835;0;0;0;1;1;
18.400;18.400;-16.2859;-2.66974;1.233;0.345239;0.654955;0.0937664;0.468832;0;1;1;
18.600;18.600;-16.2859;-2.66974;1.233;0;0.654955;0;0;0;1;1;
18.800;18.800;-16.2859;-2.66974;1.233;0;0.654955;0;0;0;1;1;
19.000;19.000;-16.3089;-2.71347;1.18368;0.246599;0.449033;0.0493926;0.246963;0;1;1;
19.200;19.200;-16.3089;-2.71347;1.18368;0;0.449033;0;0;0;1;1;
19.400;19.400;-16.3089;-2.71347;1.18368;0;0.449033;0;0;0;1;1;
19.600;19.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
19.800;19.800;-16.4102;-2.74428;1.18368;0.493199;0.638399;"-";"-";0;1;1;
20.000;20.000;-16.4632;-2.79159;1.38096;0.295919;0.56958;0.0710558;0.355279;0;1;1;
20.200;20.200;-16.4632;-2.79159;1.38096;0;0.56958;0;0;0;1;1;
20.400;20.400;-16.6226;-2.7772;1.28232;0.591838;0.810088;0.160076;0.800381;0;1;1;
20.600;20.600;-16.6226;-2.7772;1.28232;0;0.810088;0;0;0;1;1;
20.800;20.800;-16.6861;-2.75519;1.33164;0.14796;0.780181;0.0672123;0.336062;0;1;1;
21.000;21.000;-16.6895;-2.72467;1.233;0.197279;0.813019;0.0307054;0.153527;0;1;1;
21.200;21.200;-16.6895;-2.72467;1.233;0;0.813019;0;0;0;1;1;
21.400;21.400;-16.6895;-2.72467;1.233;0;0.813019;0;0;0;1;1;
21.600;21.600;-16.717;-2.7673;1.33164;0.197279;0.772539;0.0507494;0.253747;0;1;1;
21.800;21.800;-16.717;-2.7673;1.33164;0;0.772539;0;0;0;1;1;
22.000;22.000;-16.717;-2.7673;1.33164;0;0.772539;0;0;0;1;1;
22.200;22.200;-16.7198;-2.74416;1.57824;0.246599;0.792899;0.0233007;0.116504;0;1;1;
22.400;22.400;-16.7407;-2.76015;1.52892;0.0493199;0.772713;0.0263164;0.131582;0;1;1;
22.600;22.600;-17.2659;-2.7249;0.887757;1.33164;0.632022;0.52642;2.6321;0;1;1;
22.800;22.800;-17.4607;-2.78245;1.7262;0.838438;0.73855;0.203123;1.01562;0;1;1;
23.000;23.000;-17.9293;-2.78835;1.67688;1.03572;0.712417;0.46866;2.3433;0;1;1;
23.200;23.200;-17.9293;-2.78835;1.67688;0;0.712417;0;0;0;1;1;
23.400;23.400;-17.8585;-2.72816;1.67688;0.394559;0.829252;0.0929061;0.464531;0;1;1;
23.600;23.600;-17.8585;-2.72816;1.67688;0;0.829252;0;0;0;1;1;
23.800;23.800;-17.8585;-2.72816;1.67688;0;0.829252;0;0;0;1;1;
24.000;24.000;-18.2967;-2.60001;1.82483;1.13436;0.741266;0.456548;2.28274;0;1;1;
24.200;24.200;-18.2967;-2.60001;1.82483;0;0.741266;0;0;0;1;1;
24.400;24.400;-18.2967;-2.60001;1.82483;0;0.741266;0;0;0;1;1;
24.600;24.600;-17.9445;-2.56693;1.67688;0.838438;0.947506;0.353759;1.7688;0;1;1;
24.800;24.800;-17.9445;-2.56693;1.67688;0;0.947506;0;0;0;1;1;
25.000;25.000;-18.1251;-2.46098;1.92347;0.443879;0.900735;0.209345;1.04672;0;1;1;
25.200;25.200;-18.7149;-2.30717;1.77551;1.233;0.715721;0.609575;3.04788;0;1;1;
25.400;25.400;-18.7149;-2.30717;1.77551;0;0.715721;0;0;0;1;1;
25.600;25.600;-18.6562;-2.3079;1.87415;0.0986397;0.747932;0.0586998;0.293499;0;1;1;
25.800;25.800;-19.0683;-2.01859;1.57824;1.28232;0.799976;0.503446;2.51723;0;1;1;
26.000;26.000;-19.0934;-2.00428;1.52892;0.0493199;0.778891;0.0289287;0.144643;0;1;1;
26.200;26.200;-19.1399;-1.9773;1.57824;0.14796;0.736282;0.0537276;0.268638;0;1;1;
26.400;26.400;-19.1127;-1.86617;1.62756;0.739798;0.802029;0.114396;0.571982;0;1;1;
26.600;26.600;-19.1127;-1.86617;1.62756;0;0.802029;0;0;0;1;1;
26.800;26.800;-19.1621;-1.84887;1.57824;0.0493199;0.760877;0.0523616;0.261808;0;1;1;
27.000;27.000;-19.0404;-1.86272;1.62756;0.345239;0.814823;0.122513;0.612564;0;1;1;
27.200;27.200;-19.0404;-1.86272;1.62756;0;0.814823;0;0;0;1;1;
27.400;27.400;-19.0404;-1.86272;1.62756;0;0.814823;0;0;0;1;1;
27.600;27.600;-19.1773;-1.77011;1.33164;0.493199;0.611;0.165294;0.82647;0;1;1;
27.800;27.800;-19.0522;-1.82145;1.62756;0.295919;0.796794;0.135257;0.676284;0;1;1;
28.000;28.000;-19.1773;-1.77011;1.33164;0.295919;0.611;0.135257;0.676284;0;1;1;
28.200;28.200;-19.2038;-1.80955;1.38096;0.14796;0.68008;0.0475043;0.237521;0;1;1;
28.400;28.400;-19.2038;-1.80955;1.38096;0;0.68008;0;0;0;1;1;
28.600;28.600;-19.2038;-1.80955;1.38096;0;0.68008;0;0;0;1;1;
28.800;28.800;-19.2038;-1.80955;1.38096;0;0.68008;0;0;0;1;1;
29.000;29.000;-19.2021;-1.81478;1.28232;0.0986397;0.713307;0.00549797;0.0274899;0;1;1;
29.200;29.200;-19.2021;-1.81478;1.28232;0;0.713307;0;0;0;1;1;
29.400;29.400;-19.2021;-1.81478;1.28232;0;0.713307;0;0;0;1;1;
29.600;29.600;-19.1847;-1.81561;1.52892;0.443879;0.732197;0.0174932;0.087466;0;1;1;
29.800;29.800;-19.1847;-1.81561;1.52892;0;0.732197;0;0;0;1;1;
30.000;30.000;-19.1847;-1.81561;1.52892;0;0.732197;0;0;0;1;1;
30.200;30.200;-19.1857;-1.80203;1.38096;0.345239;0.735813;0.0136178;0.0680889;0;1;1;
30.400;30.400;-19.1857;-1.80203;1.43028;0.0493199;0.735813;0;0;0;1;1;
30.600;30.600;-19.1857;-1.80203;1.43028;0;0.735813;0;0;0;1;1;
30.800;30.800;-19.2246;-1.76767;1.28232;0.345239;0.544645;0.0519009;0.259505;0;1;1;
31.000;31.000;-19.1991;-1.77882;1.38096;0.0986397;0.59622;0.0278013;0.139007;0;1;1;
31.200;31.200;-19.1991;-1.77882;1.38096;0;0.59622;0;0;0;1;1;
31.400;31.400;-19.1835;-1.79357;1.33164;0.443879;0.719756;0.0214295;0.107147;0;1;1;
31.600;31.600;-19.1835;-1.79357;1.33164;0;0.719756;0;0;0;1;1;
31.800;31.800;-19.1835;-1.79357;1.33164;0;0.719756;0;0;0;1;1;
32.000;32.000;-19.1573;-1.82151;1.28232;0.246599;0.691349;0.0383591;0.191795;0;1;1;
32.200;32.200;-19.1573;-1.82151;1.28232;0;0.691349;0;0;0;1;1;
32.400;32.400;-19.1573;-1.82151;1.28232;0;0.691349;0;0;0;1;1;
32.600;32.600;-19.227;-1.72263;1.38096;0.295919;0.581549;0.120993;0.604966;0;1;1;
32.800;32.800;-19.227;-1.72263;1.38096;0;0.581549;0;0;0;1;1;
33.000;33.000;-19.227;-1.72263;1.38096;0;0.581549;0;0;0;1;1;
33.200;33.200;-19.151;-1.77064;1.43028;0.345239;0.668544;0.0899215;0.449608;0;1;1;
33.400;33.400;"-";"-";"-";"-";"-";"-";"-";0;1;1;
33.600;33.600;-19.151;-1.77064;1.4796;0.0493199;0.668544;"-";"-";0;1;1;
33.800;33.800;-19.0952;-1.80996;1.52892;0.14796;0.733796;0.0681936;0.340968;0;1;1;
34.000;34.000;-19.0952;-1.80996;1.52892;0;0.733796;0;0;0;1;1;
34.200;34.200;-19.0952;-1.80996;1.52892;0;0.733796;0;0;0;1;1;
34.400;34.400;-19.1711;-1.81551;1.4796;0.345239;0.628459;0.0760804;0.380402;0;1;1;
34.600;34.600;-19.1513;-1.82359;1.52892;0.0493199;0.656964;0.0213997;0.106998;0;1;1;
34.800;34.800;-19.1513;-1.82359;1.52892;0;0.656964;0;0;0;1;1;
35.000;35.000;-19.0534;-1.81651;1.4796;0.246599;0.729979;0.0981714;0.490857;0;1;1;
35.200;35.200;"-";"-";"-";"-";"-";"-";"-";0;1;1;
35.400;35.400;-19.0775;-1.80782;1.43028;0.0493199;0.699428;"-";"-";0;1;1;
35.600;35.600;-19.2013;-1.78971;1.33164;0.197279;0.712457;0.125078;0.625388;0;1;1;
35.800;35.800;-19.2013;-1.78971;1.33164;0;0.712457;0;0;0;1;1;
36.000;36.000;-19.3885;-1.6434;1.67688;0.641158;0.620393;0.237591;1.18796;0;1;1;
