"Number of header lines:";"35";
"Experiment";"280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN";
"System Independent Variable";
"Trial name";"Trial     1";
"Trial ID";"0";
"Arena name";"E9";
"Arena ID";"67";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"Arena Settings 1";
"Detection settings";"Detection Settings 1";
"Trial Control settings";"Default";
"Start time";"28/03/2023 13:00:00,0";
"Trial duration";"+ 20:41:23.4";
"Recording after";"+ 00:00:00.0";
"Recording duration";"+ 20:41:23.4";
"Track";"Track filet0000a0067o0000_0001.trk";
"Tracking source";"";
"Video file";"Z:\ADHD\Lphn 3.1\Methylphenidate\280323\280323_Lphn31_HOM_&WT_Methylphenidate_6dpf_DL&NN_plate1.mpg";
"Video start time";"29/03/2023 09:41:30.0";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"External";
"Sync status";"Not available";
"Reference duration";"+ 20:41:23.4";
"Reference time";"29/03/2023 09:41:30.0";
"Sof file";"";
"Missed samples";"2.1 %";
"Subject not found";"2.8 %";
"User-defined Independent Variable";
"Treatment";"";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Distance moved";"Velocity";"Movement(Moving / center-point)";"Movement(Not Moving / center-point)";"All";
"s";"s";"mm";"mm";"mm?";"mm?";"";"mm";"mm/s";"";"";"";
0.000;0.000;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.200;0.200;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.400;0.400;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.600;0.600;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
0.800;0.800;"-";"-";"-";"-";"-";"-";"-";"-";"-";1;
1.000;1.000;-10.9446;-13.2983;0.332389;"-";0.745356;"-";"-";"-";"-";1;
1.200;1.200;-11.3369;-12.9758;0.88637;0.664778;0.564269;0.507855;2.53928;1;0;1;
1.400;1.400;-11.3369;-12.9758;0.88637;0;0.564269;0;0;1;0;1;
1.600;1.600;-11.6343;-13.0085;1.38495;0.830972;0.533885;0.299173;1.49586;1;0;1;
1.800;1.800;-11.8112;-13.2127;1.10796;0.830972;0.798005;0.270182;1.35091;1;0;1;
2.000;2.000;-11.8041;-13.2056;1.10796;0.110796;0.826113;0.0100867;0.0504335;1;0;1;
2.200;2.200;-12.359;-13.6819;1.66194;1.88354;0.841815;0.731302;3.65651;1;0;1;
2.400;2.400;-12.7863;-13.9115;1.71734;1.38495;0.854218;0.485063;2.42531;1;0;1;
2.600;2.600;-12.7863;-13.9115;1.71734;0;0.854218;0;0;1;0;1;
2.800;2.800;-12.7863;-13.9115;1.71734;0;0.854218;0;0;1;0;1;
3.000;3.000;"-";"-";"-";"-";"-";"-";"-";1;0;1;
3.200;3.200;-13.2286;-14.4926;1.71734;2.32672;0.635632;"-";"-";1;0;1;
3.400;3.400;-13.2286;-14.4926;1.71734;0;0.635632;0;0;1;0;1;
3.600;3.600;-13.2286;-14.4926;1.71734;0;0.635632;0;0;1;0;1;
3.800;3.800;-13.095;-14.402;1.82814;0.553982;0.73796;0.161335;0.806676;0;1;1;
4.000;4.000;-13.095;-14.402;1.82814;0;0.73796;0;0;0;1;1;
4.200;4.200;-13.5206;-15.0243;1.55115;2.38212;0.545603;0.753897;3.76949;0;1;1;
4.400;4.400;-13.3567;-15.2327;1.82814;1.05256;0.632834;0.265077;1.32539;0;1;1;
4.600;4.600;-13.3567;-15.2327;1.82814;0;0.632834;0;0;0;1;1;
4.800;4.800;"-";"-";"-";"-";"-";"-";"-";0;1;1;
5.000;5.000;-13.6274;-15.8525;1.55115;2.27132;0.698759;"-";"-";0;1;1;
5.200;5.200;-13.6274;-15.8525;1.55115;0;0.698759;0;0;0;1;1;
5.400;5.400;-13.6366;-16.1938;1.49575;1.05256;0.721033;0.341464;1.70732;0;1;1;
5.600;5.600;-13.7057;-17.2;1.16336;2.21593;0.703117;1.00853;5.04263;0;1;1;
5.800;5.800;-13.7057;-17.2;1.16336;0;0.703117;0;0;0;1;1;
6.000;6.000;-13.7057;-17.2;1.16336;0;0.703117;0;0;0;1;1;
6.200;6.200;-13.5454;-17.3466;1.66194;0.830972;0.682615;0.217212;1.08606;0;1;1;
6.400;6.400;-13.3083;-17.8278;1.82814;1.71734;0.724306;0.536385;2.68193;0;1;1;
6.600;6.600;-13.3083;-17.8278;1.82814;0;0.724306;0;0;0;1;1;
6.800;6.800;-13.2149;-18.0596;1.44035;0.60938;0.800704;0.249938;1.24969;0;1;1;
7.000;7.000;-12.7614;-18.5303;1.55115;1.88354;0.789306;0.653699;3.26849;0;1;1;
7.200;7.200;-12.5707;-18.5232;1.44035;0.775574;0.828469;0.190816;0.954079;0;1;1;
7.400;7.400;-12.4181;-18.9104;1.44035;0.88637;0.789024;0.416116;2.08058;0;1;1;
7.600;7.600;-11.6507;-19.1825;0.443185;1.88354;0.8;0.814225;4.07113;0;1;1;
7.800;7.800;-11.4154;-19.4179;0.88637;0.443185;0.732594;0.332861;1.6643;0;1;1;
8.000;8.000;-11.4047;-19.3834;1.44035;0.553982;0.637945;0.0360951;0.180475;0;1;1;
8.200;8.200;-11.3888;-19.4419;1.32956;0.110796;0.534106;0.0606313;0.303157;0;1;1;
8.400;8.400;-11.3814;-19.4676;1.27416;0.0553982;0.482329;0.0266987;0.133494;0;1;1;
8.600;8.600;"-";"-";"-";"-";"-";"-";"-";0;1;1;
8.800;8.800;-11.4938;-19.2794;1.49575;0.443185;0.764271;"-";"-";0;1;1;
9.000;9.000;-11.4938;-19.2794;1.49575;0;0.764271;0;0;0;1;1;
9.200;9.200;-9.35959;-18.9694;1.60655;3.1023;0.779475;2.15662;10.7831;1;0;1;
9.400;9.400;-9.35959;-18.9694;1.60655;0;0.779475;0;0;1;0;1;
9.600;9.600;-9.35959;-18.9694;1.60655;0;0.779475;0;0;1;0;1;
9.800;9.800;-9.26329;-18.9371;1.82814;0.332389;0.775398;0.101579;0.507896;1;0;1;
10.000;10.000;-8.10339;-17.0978;0.720176;2.54831;0.414341;2.17447;10.8724;1;0;1;
10.200;10.200;-8.10339;-17.0978;0.720176;0;0.414341;0;0;1;0;1;
10.400;10.400;-8.22092;-17.3261;1.55115;0.830972;0.711789;0.256733;1.28366;1;0;1;
10.600;10.600;-8.22092;-17.3261;1.55115;0;0.711789;0;0;1;0;1;
10.800;10.800;-8.22092;-17.3261;1.55115;0;0.711789;0;0;1;0;1;
11.000;11.000;-8.1864;-17.3216;1.38495;0.166194;0.776461;0.0348076;0.174038;1;0;1;
11.200;11.200;-8.15756;-16.6271;1.77274;1.49575;0.820812;0.695145;3.47572;1;0;1;
11.400;11.400;-8.15756;-16.6271;1.77274;0;0.820812;0;0;1;0;1;
11.600;11.600;-8.01036;-16.617;1.71734;0.60938;0.770974;0.147544;0.737718;1;0;1;
11.800;11.800;-8.01036;-16.617;1.71734;0;0.770974;0;0;1;0;1;
12.000;12.000;-8.01036;-16.617;1.71734;0;0.770974;0;0;1;0;1;
12.200;12.200;-8.13925;-15.3415;1.49575;2.54831;0.703277;1.28197;6.40984;1;0;1;
12.400;12.400;-8.13925;-15.3415;1.49575;0;0.703277;0;0;1;0;1;
12.600;12.600;-8.13925;-15.3415;1.49575;0;0.703277;0;0;0;1;1;
12.800;12.800;-8.13925;-15.3415;1.49575;0;0.703277;0;0;0;1;1;
13.000;13.000;-8.14635;-15.3643;1.55115;0.0553982;0.722684;0.0238695;0.119348;0;1;1;
13.200;13.200;-8.14635;-15.3643;1.55115;0;0.722684;0;0;0;1;1;
13.400;13.400;-8.14635;-15.3643;1.55115;0;0.722684;0;0;0;1;1;
13.600;13.600;-8.13272;-15.4892;1.93894;0.387787;0.766565;0.125659;0.628296;0;1;1;
13.800;13.800;-8.43402;-14.7982;1.49575;1.77274;0.699966;0.753863;3.76931;0;1;1;
14.000;14.000;-8.43893;-14.3109;1.44035;1.16336;0.700199;0.487346;2.43673;0;1;1;
14.200;14.200;-8.52626;-14.3723;1.55115;0.332389;0.641679;0.106774;0.533869;0;1;1;
14.400;14.400;-8.79035;-14.1172;2.04973;1.38495;0.85478;0.367182;1.83591;0;1;1;
14.600;14.600;-8.94812;-13.8847;1.60655;0.443185;0.67199;0.281002;1.40501;0;1;1;
14.800;14.800;-9.00972;-13.8252;1.71734;0.88637;0.893964;0.0855965;0.427982;0;1;1;
15.000;15.000;-9.58733;-13.1702;1.38495;1.55115;0.667267;0.873355;4.36677;0;1;1;
